Event_Category,Time_Of_Day,Expected_Crowd,Environment_Type,Max_Venue_Capacity,Venue_Area_Sq_Meters,Number_Of_Fire_Exits,Event_Date,Duration_Hours,Latitude,Longitude,Has_Fireworks,Has_Temp_Structures,VIP_Attendance,Loudspeaker_Used,Road_Closure_Required,Is_Moving_Procession,Food_Stalls_Present,Liquor_Served,Risk_Level
Major Concert,Evening,12143,Indoor,13357,13357,2,2026-08-23,6,19.335249,72.729948,1,1,1,1,0,0,1,1,High
Major Concert,Morning,27166,Indoor,27831,51651,5,2026-07-21,5,18.365842,73.721714,0,1,0,1,0,0,1,1,Medium
Sports Match,Morning,14887,Outdoor,16757,26294,4,2026-07-28,4,19.254673,73.976157,0,1,0,1,0,0,1,0,Medium
Sports Match,Night,46704,Indoor,49033,60541,9,2026-07-08,3,19.40885,73.969073,0,0,0,1,1,0,1,0,Medium
Major Concert,Afternoon,70340,Outdoor,80779,106144,16,2026-08-26,8,18.540309,73.361536,0,1,0,1,1,0,1,1,High
Sports Match,Evening,1896,Outdoor,4352,10446,14,2026-09-08,4,19.372743,73.638998,0,0,0,1,0,0,0,0,Low
Political Rally,Evening,15108,Outdoor,17122,21810,4,2026-08-25,8,18.723192,73.33213,0,0,0,1,0,0,1,0,Medium
Sports Match,Morning,2928,Outdoor,7830,17343,26,2026-05-16,5,18.168011,72.727847,0,0,0,1,0,0,1,0,Low
Sports Match,Night,78306,Indoor,86393,127993,17,2026-05-10,8,18.1655,73.040864,0,0,1,1,1,0,1,0,Medium
Sports Match,Morning,47510,Outdoor,48024,72865,9,2026-06-24,4,19.217055,73.461868,0,1,1,1,1,0,1,0,Medium
Political Rally,Morning,43817,Indoor,48106,87057,9,2026-04-21,7,19.439212,72.583045,0,1,0,1,1,0,1,0,Medium
Protest/March,Afternoon,273449,Outdoor,273449,410173,0,2026-08-31,5,19.130163,72.993165,0,0,1,1,0,1,1,0,High
Sports Match,Evening,39134,Outdoor,44693,84595,8,2026-05-20,8,18.808787,72.592851,1,1,1,1,1,0,1,0,Medium
Major Concert,Night,14573,Indoor,16030,16030,2,2026-05-29,3,18.257199,72.846817,1,1,1,1,0,0,1,1,High
Political Rally,Afternoon,59099,Outdoor,60106,105441,12,2026-08-09,5,19.000222,73.056955,0,0,0,1,1,0,1,0,Medium
Protest/March,Morning,460272,Outdoor,460272,690408,0,2026-04-02,9,18.189064,73.545559,0,0,1,1,0,1,1,0,High
Mega Religious Gathering,Morning,1620831,Outdoor,1143406,648332,3,2026-07-02,15,18.062205,73.08927,0,1,1,1,0,1,1,0,High
Sports Match,Morning,5068,Outdoor,15170,36540,50,2026-06-23,6,18.703893,72.657122,0,0,0,1,0,0,1,0,Low
Private Function,Night,901,Outdoor,1420,5384,4,2026-06-08,6,18.728326,73.496402,0,1,0,0,0,0,0,0,Low
Political Rally,Morning,536972,Outdoor,398460,214788,3,2026-04-06,55,19.311453,73.071443,0,1,0,1,1,0,1,0,High
Sports Match,Afternoon,3692,Outdoor,9475,26517,31,2026-07-26,6,18.842362,72.881531,0,0,0,1,0,0,0,0,Low
Major Concert,Afternoon,21388,Indoor,23177,36771,4,2026-06-20,4,19.133805,73.655514,0,1,1,1,0,0,1,1,Medium
Political Rally,Afternoon,63924,Outdoor,72597,100898,14,2026-06-14,5,19.211588,73.631858,1,1,0,1,1,0,1,0,Medium
Political Rally,Afternoon,13626,Indoor,15499,27516,4,2026-05-17,4,19.038992,73.11896,0,1,1,1,0,0,1,0,Medium
Mega Religious Gathering,Afternoon,667588,Outdoor,455906,267035,2,2026-04-19,63,19.454341,73.697291,0,1,0,0,0,1,1,0,High
Protest/March,Afternoon,432690,Outdoor,432690,649035,0,2026-05-18,4,19.054162,73.504501,0,0,1,1,0,1,1,0,High
Major Concert,Night,16166,Indoor,17782,17782,2,2026-04-29,5,19.006503,73.578771,1,1,0,1,0,0,1,1,High
Sports Match,Afternoon,70656,Outdoor,80665,155001,16,2026-06-17,4,18.594549,73.70973,0,1,1,1,1,0,1,0,Low
Private Function,Night,1453,Outdoor,3904,10241,13,2026-09-28,2,19.441201,73.315062,0,0,0,0,0,0,1,0,Low
Mega Religious Gathering,Afternoon,991688,Outdoor,650823,396675,1,2026-06-23,42,18.132423,73.342236,0,1,1,1,0,1,1,0,High
Sports Match,Afternoon,6141,Outdoor,11459,43673,38,2026-05-30,4,18.036461,73.736692,0,0,0,1,0,0,1,0,Low
Protest/March,Afternoon,300962,Outdoor,300962,451443,0,2026-08-18,9,18.89275,72.528987,0,0,1,1,0,1,1,0,High
Private Function,Morning,1394,Outdoor,3858,11967,12,2026-06-22,6,18.31615,73.563975,0,0,0,0,0,0,0,0,Low
Protest/March,Morning,112637,Outdoor,112637,168955,0,2026-04-05,6,18.050618,73.234634,0,0,1,1,0,1,1,0,High
Sports Match,Evening,9369,Outdoor,20890,66084,69,2026-08-19,2,18.98605,73.204102,0,0,0,1,0,0,1,0,Low
Major Concert,Night,12498,Indoor,13747,13747,2,2026-08-24,6,18.252192,73.892415,1,1,1,0,0,0,1,1,High
Sports Match,Afternoon,67908,Indoor,71390,91214,14,2026-04-09,6,18.080827,72.549763,0,0,0,1,1,0,1,0,Medium
Major Concert,Afternoon,15917,Indoor,17508,17508,2,2026-05-06,5,19.0169,72.590533,1,1,0,1,0,0,1,1,High
Major Concert,Morning,17115,Indoor,18826,18826,2,2026-04-01,3,18.520842,72.599704,1,1,1,1,0,0,1,1,High
Sports Match,Night,57359,Indoor,63945,109378,12,2026-05-25,7,18.19185,73.867567,0,0,1,1,1,0,1,0,Medium
Sports Match,Morning,2777,Outdoor,7519,22888,25,2026-08-13,3,19.156039,72.838523,0,0,0,1,0,0,0,0,Low
Protest/March,Afternoon,458475,Outdoor,458475,687712,0,2026-05-09,9,18.230569,73.824119,0,0,1,1,0,1,1,0,High
Protest/March,Evening,283401,Outdoor,283401,425101,0,2026-04-18,9,18.439887,72.835239,0,0,1,1,0,1,1,0,High
Private Function,Afternoon,789,Outdoor,2209,7446,7,2026-08-26,2,19.393608,73.49556,0,1,0,0,0,0,0,0,Low
Political Rally,Afternoon,53088,Outdoor,62747,109758,12,2026-04-02,8,19.408927,73.810963,0,0,0,1,1,0,1,0,Medium
Political Rally,Morning,76242,Outdoor,83458,154649,16,2026-09-25,3,19.137766,73.064035,0,0,1,1,1,0,1,0,Medium
Private Function,Night,1217,Outdoor,2837,7007,9,2026-05-28,3,18.633708,73.716754,0,0,0,0,0,0,0,0,Low
Political Rally,Afternoon,706492,Outdoor,601700,282596,1,2026-09-28,38,18.104984,73.227016,0,1,1,1,1,0,1,0,High
Major Concert,Morning,16036,Outdoor,16514,20989,4,2026-06-02,7,18.442015,72.897932,1,0,1,1,0,0,1,1,Medium
Political Rally,Night,2350953,Outdoor,1616573,940381,3,2026-05-14,41,18.475761,73.43451,0,1,0,1,1,0,1,0,High
Private Function,Night,634,Outdoor,1794,6811,5,2026-08-20,5,19.380094,72.947817,0,0,0,0,0,0,1,0,Low
Major Concert,Morning,7690,Indoor,8459,8459,2,2026-05-28,6,18.691211,73.835385,1,1,0,1,0,0,0,1,High
Private Function,Morning,890,Indoor,1589,6178,5,2026-06-19,3,18.194607,73.387806,0,0,0,0,0,0,0,0,Low
Political Rally,Evening,22767,Indoor,23372,34036,4,2026-04-25,6,19.209943,73.48429,0,1,1,1,0,0,1,0,Medium
Sports Match,Night,25378,Indoor,30310,57710,6,2026-04-23,3,18.300858,72.695596,0,0,1,1,0,0,1,0,Medium
Sports Match,Night,7435,Outdoor,12565,33086,41,2026-07-08,5,18.687624,73.261863,0,0,0,1,0,0,0,0,Low
Sports Match,Evening,19287,Indoor,21611,37451,4,2026-04-10,3,18.594882,73.916475,0,0,0,1,0,0,1,0,Medium
Private Function,Evening,1463,Outdoor,4330,15142,14,2026-05-18,5,18.339527,72.734298,0,0,0,0,0,0,0,0,Low
Sports Match,Evening,74295,Outdoor,83311,159876,16,2026-06-03,5,18.80732,73.92502,0,1,1,1,1,0,1,0,Medium
Major Concert,Evening,11131,Indoor,12162,23118,4,2026-09-06,4,19.133675,73.416944,0,0,1,1,0,0,1,1,Medium
Political Rally,Evening,724733,Outdoor,595314,289893,2,2026-07-02,33,19.369417,73.860785,0,1,1,1,1,0,1,0,High
Sports Match,Afternoon,9016,Outdoor,25497,79320,84,2026-05-18,5,19.158142,73.003478,0,0,0,1,0,0,1,0,Medium
Sports Match,Night,2517,Outdoor,5041,12863,16,2026-07-24,4,18.723409,72.526246,0,0,0,1,0,0,1,0,Low
Protest/March,Night,371601,Outdoor,371601,557401,0,2026-09-12,9,18.418622,73.438444,0,0,1,1,0,1,1,0,High
Private Function,Morning,1094,Outdoor,2481,5978,8,2026-08-15,6,18.193879,73.994729,0,1,0,0,0,0,1,0,Low
Major Concert,Afternoon,62594,Outdoor,62962,92198,12,2026-04-15,6,19.117226,72.507305,0,1,0,1,1,0,1,1,Medium
Political Rally,Afternoon,38470,Outdoor,42514,56646,8,2026-07-23,5,18.232409,72.60872,1,0,1,1,1,0,1,0,Medium
Private Function,Night,245,Outdoor,599,1418,3,2026-08-14,4,18.260309,73.575859,0,0,0,0,0,0,0,0,Low
Sports Match,Night,73276,Outdoor,77222,121203,15,2026-09-02,7,18.023101,73.912165,1,1,0,1,1,0,1,0,Medium
Mega Religious Gathering,Afternoon,1202949,Outdoor,744034,481179,2,2026-08-01,42,19.492613,72.764408,0,1,1,1,0,1,1,0,High
Private Function,Evening,693,Indoor,1640,4491,5,2026-08-02,3,18.403373,72.87275,0,0,0,0,0,0,1,0,Low
Sports Match,Afternoon,5576,Outdoor,11867,32929,39,2026-07-13,5,19.411723,72.741119,0,1,0,1,0,0,0,0,Low
Sports Match,Evening,3733,Outdoor,11081,34787,36,2026-08-02,2,19.370911,73.082057,0,0,0,1,0,0,1,0,Low
Private Function,Evening,1011,Indoor,2743,8166,9,2026-07-10,5,19.012302,73.301196,0,1,0,0,0,0,1,0,Low
Private Function,Night,664,Indoor,1191,4287,3,2026-07-20,3,18.531464,73.861823,0,0,0,0,0,0,0,0,Low
Political Rally,Morning,58450,Indoor,65349,119123,13,2026-07-23,3,19.451572,73.286544,0,1,0,1,1,0,1,0,High
Political Rally,Morning,33887,Outdoor,35185,63221,7,2026-08-16,5,18.196209,73.449039,0,1,1,1,1,0,1,0,Low
Major Concert,Afternoon,13654,Indoor,15019,15019,2,2026-05-21,3,18.694372,72.787161,1,1,1,1,0,0,1,1,Medium
Major Concert,Night,13553,Indoor,14908,14908,2,2026-07-21,3,18.18022,73.631936,1,1,1,1,0,0,1,1,High
Private Function,Morning,680,Indoor,1564,6156,5,2026-09-11,3,19.348209,73.99826,0,0,0,0,0,0,1,0,Low
Sports Match,Afternoon,74077,Outdoor,85885,171558,17,2026-09-20,5,18.753142,73.973756,1,1,0,1,1,0,1,0,Medium
Sports Match,Night,63718,Outdoor,71191,126675,14,2026-05-24,6,18.717087,73.713658,0,1,1,1,1,0,1,0,Medium
Political Rally,Afternoon,1976942,Outdoor,1631502,790776,3,2026-08-27,65,18.758845,73.120456,0,1,0,1,1,0,1,0,High
Political Rally,Morning,66369,Outdoor,67993,90327,13,2026-07-01,4,18.794538,73.959588,1,0,1,1,1,0,1,0,Medium
Political Rally,Morning,553421,Outdoor,370434,221368,3,2026-06-13,55,19.238258,73.643941,0,1,1,1,1,0,1,0,High
Major Concert,Night,9150,Indoor,10065,10065,2,2026-09-04,4,19.106254,73.796884,1,1,1,1,0,0,0,1,High
Political Rally,Night,645089,Outdoor,450273,258035,2,2026-06-27,20,18.241181,72.565131,0,1,1,1,1,0,1,0,High
Sports Match,Morning,63511,Indoor,65633,104475,13,2026-07-22,3,19.42547,73.643861,0,0,1,1,1,0,1,0,Medium
Protest/March,Afternoon,121703,Outdoor,121703,182554,0,2026-05-07,6,18.960072,73.786752,0,0,1,1,0,1,1,0,High
Private Function,Evening,490,Indoor,1046,3067,3,2026-04-06,3,18.462894,73.889526,0,0,0,0,0,0,0,0,Low
Mega Religious Gathering,Morning,1684374,Outdoor,1083878,673749,3,2026-09-18,22,18.396994,73.866242,0,1,1,1,0,1,1,0,High
Political Rally,Evening,66255,Indoor,66519,86286,13,2026-06-11,6,19.270784,72.789601,0,0,0,1,1,0,1,0,Medium
Private Function,Evening,1136,Outdoor,1900,7163,6,2026-06-20,3,19.383459,73.645218,0,1,0,0,0,0,1,0,Low
Mega Religious Gathering,Afternoon,1175837,Outdoor,953822,470334,2,2026-05-15,22,19.167191,73.784844,0,1,1,1,0,1,1,0,High
Major Concert,Evening,38124,Outdoor,42919,52173,8,2026-09-27,4,18.377885,73.214481,1,1,0,1,1,0,1,1,Medium
Mega Religious Gathering,Afternoon,1488980,Outdoor,965496,595592,2,2026-05-20,60,19.286049,72.739366,0,1,0,1,0,1,1,0,High
Sports Match,Night,6881,Outdoor,10907,31519,36,2026-04-28,2,18.374975,73.732165,0,0,0,1,0,0,1,0,Low
Sports Match,Night,1509,Outdoor,3199,12478,10,2026-07-23,4,18.361909,72.824705,0,0,0,1,0,0,1,0,Low
Sports Match,Morning,67614,Indoor,75652,150856,15,2026-05-07,8,18.982161,72.868172,0,0,1,1,1,0,1,0,Medium
Political Rally,Night,696054,Outdoor,438513,278421,1,2026-04-05,69,18.703491,72.594544,0,1,1,1,1,0,1,0,High
Protest/March,Evening,443935,Outdoor,443935,665902,0,2026-09-07,8,18.625689,73.32994,0,0,1,1,0,1,1,0,High
Sports Match,Afternoon,12062,Outdoor,13620,22469,4,2026-04-10,8,18.467076,72.934362,1,1,0,1,0,0,1,0,High
Political Rally,Morning,830314,Outdoor,609407,332125,3,2026-05-20,32,18.127545,72.992583,0,1,1,1,1,0,1,0,High
Sports Match,Morning,4057,Outdoor,7134,20914,23,2026-07-03,5,18.521663,72.925074,0,0,0,1,0,0,1,0,Low
Sports Match,Night,44323,Indoor,48550,87095,9,2026-06-27,8,19.307204,73.397678,0,1,1,1,1,0,1,0,Low
Sports Match,Morning,1731,Outdoor,3476,13485,11,2026-06-20,5,19.476016,72.546156,0,1,0,1,0,0,1,0,Low
Major Concert,Afternoon,34856,Indoor,38505,67329,7,2026-06-23,8,18.389844,72.913423,0,1,1,1,1,0,1,1,Medium
Private Function,Morning,1265,Outdoor,2897,5882,9,2026-08-22,4,18.827617,72.746682,0,0,0,0,0,0,1,0,Low
Sports Match,Night,8819,Outdoor,23408,48859,78,2026-08-26,6,18.863123,73.170453,0,0,0,1,0,0,1,0,Low
Private Function,Evening,773,Outdoor,1461,4301,4,2026-04-13,4,18.213366,73.097286,0,0,0,0,0,0,1,0,Low
Private Function,Morning,1303,Indoor,3725,11702,12,2026-07-07,3,18.173477,72.538909,0,1,0,0,0,0,0,0,Low
Private Function,Night,471,Indoor,1069,4163,3,2026-09-23,2,18.135703,73.199359,0,1,0,0,0,0,1,0,Low
Major Concert,Night,77598,Outdoor,80711,131841,16,2026-09-05,5,18.968148,72.542104,1,1,0,1,1,0,1,1,High
Sports Match,Evening,3735,Outdoor,8418,26265,28,2026-08-07,4,18.948398,73.541435,0,0,0,1,0,0,0,0,Low
Political Rally,Morning,34031,Indoor,36386,52891,7,2026-05-28,3,19.209171,73.684334,0,0,1,1,1,0,1,0,Medium
Private Function,Evening,815,Indoor,2335,4741,7,2026-07-22,4,18.084604,73.640097,0,1,0,0,0,0,0,0,Low
Political Rally,Afternoon,66705,Indoor,68442,130409,13,2026-06-20,5,18.340248,72.938546,0,0,1,1,1,0,1,0,Medium
Private Function,Afternoon,1413,Outdoor,3245,12402,10,2026-05-22,3,19.22652,72.544559,0,1,0,0,0,0,1,0,Low
Political Rally,Night,50252,Indoor,59579,110143,11,2026-04-06,5,19.043282,73.072369,0,1,1,1,1,0,1,0,Medium
Private Function,Night,85,Indoor,187,727,3,2026-08-02,5,18.192502,72.707532,0,1,0,0,0,0,0,0,Low
Political Rally,Afternoon,68208,Outdoor,68541,99376,13,2026-04-26,6,19.147215,72.641616,0,1,0,1,1,0,1,0,Medium
Political Rally,Evening,685349,Outdoor,594028,274139,2,2026-04-13,15,19.483485,73.008962,0,1,1,1,1,0,1,0,High
Protest/March,Morning,478381,Outdoor,478381,717571,0,2026-05-10,8,18.641288,72.933588,0,0,1,1,0,1,1,0,High
Sports Match,Night,8251,Outdoor,23933,85549,79,2026-06-13,6,18.484608,73.364388,0,0,0,1,0,0,0,0,Low
Protest/March,Morning,278277,Outdoor,278277,417415,0,2026-09-07,10,19.166406,73.80142,0,0,1,1,0,1,1,0,High
Major Concert,Morning,37002,Indoor,37091,64908,7,2026-09-25,3,18.746251,73.45747,0,1,1,1,1,0,1,1,Medium
Major Concert,Night,19167,Indoor,21083,21083,2,2026-07-22,4,18.023385,73.361884,1,1,1,0,0,0,1,1,High
Political Rally,Morning,72235,Indoor,75902,126780,15,2026-09-17,6,18.089701,73.078401,0,0,1,1,1,0,1,0,Medium
Political Rally,Afternoon,2104620,Outdoor,1754512,841848,2,2026-09-25,47,18.008963,73.157425,0,1,1,1,1,0,1,0,High
Sports Match,Night,17491,Indoor,18956,27775,4,2026-08-30,8,19.336498,72.573787,0,1,1,1,0,0,1,0,Medium
Major Concert,Morning,72401,Outdoor,75831,97540,15,2026-06-13,3,18.141218,73.410691,1,1,1,1,1,0,1,1,Medium
Mega Religious Gathering,Afternoon,2478665,Outdoor,1987919,991466,1,2026-08-19,24,18.928179,72.743621,0,1,1,1,0,1,1,0,High
Sports Match,Afternoon,8672,Outdoor,13840,49453,46,2026-04-03,5,18.475351,73.029559,0,0,0,1,0,0,1,0,Low
Sports Match,Afternoon,7767,Outdoor,18526,51689,61,2026-08-05,5,18.655676,72.566979,0,0,0,1,0,0,0,0,Low
Private Function,Morning,1217,Outdoor,3389,8653,11,2026-08-21,3,18.789534,73.709332,0,0,0,0,0,0,1,0,Low
Private Function,Morning,638,Outdoor,1050,2140,3,2026-08-18,4,18.212215,72.750266,0,0,0,0,0,0,1,0,Low
Sports Match,Morning,36877,Indoor,37870,50762,7,2026-04-22,6,18.321917,72.932604,0,1,0,1,1,0,1,0,Medium
Private Function,Afternoon,227,Indoor,407,1289,3,2026-07-15,6,18.495073,73.236776,0,0,0,0,0,0,1,0,Low
Sports Match,Morning,28062,Indoor,29451,45773,5,2026-05-24,6,19.03309,73.353993,0,1,1,1,0,0,1,0,Medium
Sports Match,Afternoon,7465,Outdoor,15539,58882,51,2026-06-11,3,18.275521,72.954798,0,0,0,1,0,0,1,0,Medium
Political Rally,Morning,73660,Outdoor,84468,142303,16,2026-05-09,7,18.64156,73.363225,1,1,1,1,1,0,1,0,Medium
Private Function,Night,787,Indoor,2076,7368,6,2026-08-23,4,18.605625,73.896395,0,0,0,0,0,0,0,0,Low
Sports Match,Evening,5004,Outdoor,11884,44102,39,2026-04-15,5,19.205782,73.965499,0,0,0,1,0,0,1,0,Low
Private Function,Night,893,Indoor,1748,3787,5,2026-06-01,5,19.408757,73.026062,0,0,0,0,0,0,1,0,Low
Sports Match,Evening,5903,Outdoor,12093,28434,40,2026-05-24,4,18.789708,73.679396,0,1,0,1,0,0,0,0,Low
Major Concert,Night,49722,Outdoor,57233,96947,11,2026-04-24,3,19.023133,72.509469,0,1,0,1,1,0,1,1,Medium
Major Concert,Evening,57916,Indoor,64314,90734,12,2026-07-30,4,19.246471,73.37281,0,0,0,1,1,0,1,1,Medium
Sports Match,Evening,23380,Outdoor,24205,40500,4,2026-07-21,6,18.235207,73.078997,1,1,0,1,0,0,1,0,Medium
Protest/March,Afternoon,447378,Outdoor,447378,671067,0,2026-06-05,5,18.141292,72.629645,0,0,1,1,0,1,1,0,High
Political Rally,Evening,75257,Indoor,87892,154974,17,2026-08-02,6,18.834004,73.004979,0,0,1,1,1,0,1,0,Medium
Sports Match,Afternoon,21076,Indoor,21724,33741,4,2026-08-05,3,18.079625,73.796445,0,0,1,1,0,0,1,0,Medium
Private Function,Evening,393,Indoor,791,2852,3,2026-05-23,3,18.009526,72.792471,0,0,0,0,0,0,1,0,Low
Sports Match,Night,8615,Outdoor,19294,71326,64,2026-07-18,6,18.000654,73.206639,0,1,0,1,0,0,1,0,Low
Protest/March,Evening,142740,Outdoor,142740,214110,0,2026-05-02,5,18.715543,72.952656,0,0,1,1,0,1,1,0,High
Protest/March,Morning,497174,Outdoor,497174,745761,0,2026-06-11,4,18.483202,73.653758,0,0,1,1,0,1,1,0,High
Sports Match,Afternoon,7160,Outdoor,21034,63220,70,2026-08-06,6,18.041644,73.135982,0,0,0,1,0,0,1,0,Low
Major Concert,Evening,35830,Indoor,40129,64671,8,2026-07-02,5,19.139175,73.127617,0,0,0,1,1,0,1,1,Medium
Sports Match,Night,59695,Outdoor,67501,129513,13,2026-04-07,5,18.746853,73.128133,1,0,0,1,1,0,1,0,Medium
Major Concert,Afternoon,8877,Indoor,9764,9764,2,2026-06-17,6,19.391229,73.598313,1,1,1,1,0,0,0,1,High
Political Rally,Evening,1819149,Outdoor,1461469,727659,3,2026-05-20,53,18.679015,73.457273,0,1,1,1,1,0,1,0,High
Mega Religious Gathering,Night,1851537,Outdoor,1379749,740614,1,2026-08-05,48,18.017194,73.593221,0,1,1,1,0,1,1,0,High
Sports Match,Night,3739,Outdoor,6655,26439,22,2026-08-18,2,18.088845,73.017656,0,1,0,1,0,0,0,0,Low
Protest/March,Evening,440840,Outdoor,440840,661260,0,2026-04-08,7,19.065995,72.740195,0,0,1,1,0,1,1,0,High
Private Function,Afternoon,1087,Outdoor,1847,5098,6,2026-09-21,4,18.680108,72.634729,0,0,0,0,0,0,0,0,Low
Private Function,Night,1343,Outdoor,3445,7344,11,2026-05-16,3,18.728186,73.109327,0,1,0,0,0,0,0,0,Low
Sports Match,Afternoon,43330,Outdoor,46447,60912,9,2026-06-20,7,19.347893,72.781256,0,1,0,1,1,0,1,0,Medium
Sports Match,Evening,55375,Outdoor,65195,110904,13,2026-04-02,4,19.39971,73.161751,1,1,0,1,1,0,1,0,Medium
Major Concert,Night,9587,Indoor,10545,10545,2,2026-07-29,6,18.180717,73.606182,1,1,1,1,0,0,0,1,High
Mega Religious Gathering,Night,1967926,Outdoor,1264877,787170,2,2026-09-06,50,18.456414,72.51972,0,1,1,1,0,1,1,0,High
Private Function,Night,844,Outdoor,2472,7828,8,2026-06-26,6,18.371475,72.807639,0,0,0,0,0,0,1,0,Low
Sports Match,Morning,52487,Outdoor,61408,112194,12,2026-06-28,8,18.104282,72.72519,0,1,0,1,1,0,1,0,Medium
Mega Religious Gathering,Afternoon,759979,Outdoor,461152,303991,1,2026-06-10,44,18.04676,73.409326,0,1,1,1,0,1,1,0,High
Major Concert,Night,5125,Indoor,5637,5637,2,2026-08-20,4,18.608421,73.964399,1,1,1,1,0,0,0,1,High
Sports Match,Night,5846,Outdoor,11852,27841,39,2026-05-11,5,18.346895,73.901102,0,0,0,1,0,0,0,0,Low
Sports Match,Afternoon,73889,Outdoor,77918,98876,15,2026-06-12,3,18.909775,72.544895,0,0,1,1,1,0,1,0,Medium
Sports Match,Evening,6794,Outdoor,16416,62024,54,2026-08-27,3,18.256914,72.801797,0,1,0,1,0,0,1,0,Low
Sports Match,Afternoon,4859,Outdoor,9303,31863,31,2026-08-08,4,19.107537,73.06439,0,0,0,1,0,0,1,0,Low
Sports Match,Morning,51329,Outdoor,55475,81425,11,2026-05-09,6,18.928619,73.426089,0,1,1,1,1,0,1,0,High
Sports Match,Evening,1700,Outdoor,2873,7390,9,2026-07-13,4,19.053644,73.161691,0,0,0,1,0,0,1,0,Low
Major Concert,Night,13746,Indoor,15120,15120,2,2026-06-14,3,18.724954,73.25494,1,1,0,1,0,0,1,1,High
Political Rally,Afternoon,19910,Indoor,22414,34755,4,2026-06-07,5,19.099345,73.803246,0,0,0,1,0,0,1,0,Medium
Sports Match,Night,4168,Outdoor,9721,19538,32,2026-09-28,6,19.193849,73.894682,0,0,0,1,0,0,1,0,Low
Sports Match,Afternoon,56788,Indoor,63915,84755,12,2026-04-30,7,18.516887,72.626878,0,1,0,1,1,0,1,0,High
Mega Religious Gathering,Night,1661442,Outdoor,1087632,664576,2,2026-07-28,72,18.57188,73.983329,0,1,0,1,0,1,1,0,High
Sports Match,Evening,9191,Outdoor,16786,43213,55,2026-07-23,6,18.976037,72.825079,0,0,0,1,0,0,1,0,Low
Major Concert,Morning,13400,Indoor,14740,14740,2,2026-09-11,3,19.263891,73.786587,1,1,1,1,0,0,1,1,High
Protest/March,Night,218950,Outdoor,218950,328425,0,2026-08-24,10,19.064946,72.93187,0,0,1,1,0,1,1,0,High
Political Rally,Morning,52801,Outdoor,56359,106876,11,2026-04-06,3,18.803496,72.893286,0,1,0,1,1,0,1,0,Medium
Protest/March,Night,223101,Outdoor,223101,334651,0,2026-05-02,7,19.11952,73.962851,0,0,1,1,0,1,1,0,High
Major Concert,Morning,18896,Indoor,20785,20785,2,2026-06-17,6,18.32283,73.134594,1,1,1,1,0,0,1,1,High
Private Function,Afternoon,411,Indoor,893,1846,3,2026-05-19,4,18.71809,72.700598,0,0,0,0,0,0,1,0,Low
Sports Match,Evening,6119,Outdoor,18329,44419,61,2026-09-20,6,19.078,72.872613,0,0,0,1,0,0,0,0,Low
Major Concert,Morning,17691,Indoor,19460,19460,2,2026-08-22,5,19.00266,73.626158,1,1,0,0,0,0,1,1,High
Sports Match,Morning,9743,Outdoor,19268,47562,64,2026-04-16,6,19.255307,72.617836,0,0,0,1,0,0,0,0,Low
Sports Match,Evening,9570,Outdoor,18749,43999,62,2026-09-08,5,19.057183,73.245441,0,0,0,1,0,0,0,0,Low
Protest/March,Morning,442720,Outdoor,442720,664080,0,2026-09-24,7,18.834139,73.940721,0,0,1,1,0,1,1,0,High
Sports Match,Afternoon,9200,Outdoor,14040,45924,46,2026-07-18,6,19.409115,73.458811,0,0,0,1,0,0,1,0,Low
Major Concert,Afternoon,15184,Indoor,16702,16702,2,2026-09-15,3,18.160763,73.619632,1,1,1,0,0,0,1,1,High
Major Concert,Morning,35955,Outdoor,38645,71545,7,2026-04-28,3,18.29479,73.606029,0,1,1,1,1,0,1,1,Low
Mega Religious Gathering,Night,1121482,Outdoor,899576,448592,3,2026-05-14,31,19.043017,72.698487,0,1,1,1,0,1,1,0,High
Private Function,Night,1253,Indoor,3000,11416,10,2026-04-27,6,18.772155,72.568342,0,0,0,0,0,0,0,0,Low
Sports Match,Morning,6880,Outdoor,14828,32743,49,2026-09-03,2,18.685119,72.811468,0,0,0,1,0,0,1,0,Low
Sports Match,Afternoon,4625,Outdoor,13678,27940,45,2026-07-02,3,18.460487,72.888391,0,0,0,1,0,0,0,0,Low
Political Rally,Afternoon,1692822,Outdoor,1480070,677128,2,2026-08-08,13,18.389993,73.211792,0,1,1,1,1,0,1,0,High
Major Concert,Afternoon,9943,Indoor,10937,10937,2,2026-06-04,3,18.028044,73.397407,1,1,1,1,0,0,0,1,High
Political Rally,Morning,965113,Outdoor,673391,386045,2,2026-08-31,40,19.330207,73.618114,0,1,1,1,1,0,1,0,High
Sports Match,Evening,6922,Outdoor,18411,52347,61,2026-08-13,4,19.257944,73.822105,0,0,0,1,0,0,1,0,Low
Political Rally,Evening,878936,Outdoor,571210,351574,1,2026-09-17,60,18.967497,73.551087,0,1,1,0,1,0,1,0,High
Mega Religious Gathering,Night,638186,Outdoor,544413,255274,3,2026-05-14,15,18.09523,72.82528,0,1,1,1,0,1,1,0,High
Private Function,Afternoon,1376,Outdoor,2994,9720,9,2026-09-28,3,19.265715,72.519549,0,0,0,0,0,0,0,0,Medium
Major Concert,Morning,66196,Indoor,69308,116644,13,2026-08-17,3,18.909445,73.387141,0,1,0,1,1,0,1,1,Medium
Major Concert,Afternoon,59592,Indoor,69884,123182,13,2026-07-27,3,18.730155,72.73195,0,1,1,1,1,0,1,1,Medium
